index,build,test_index,RW,IODEPTH,SIZE,ENGINE,y_BANDWIDTH,run_index
68,Local,6,randread,16,4,spdk_bdev,2000.0,8
69,Local,6,randread,16,4,spdk_bdev,2000.0,9
70,Local,7,randwrite,16,4,spdk_bdev,285.71,0
71,Local,7,randwrite,16,4,spdk_bdev,285.71,1
72,Local,7,randwrite,16,4,spdk_bdev,285.71,2
73,Local,7,randwrite,16,4,spdk_bdev,285.71,3
74,Local,7,randwrite,16,4,spdk_bdev,285.71,4
75,Local,7,randwrite,16,4,spdk_bdev,285.71,5
76,Local,7,randwrite,16,4,spdk_bdev,285.71,6
77,Local,7,randwrite,16,4,spdk_bdev,285.71,7
78,Local,7,randwrite,16,4,spdk_bdev,285.71,8
79,Local,7,randwrite,16,4,spdk_bdev,285.71,9
80,Local,8,read,32,4,spdk_bdev,2000.0,0
81,Local,8,read,32,4,spdk_bdev,2000.0,1
82,Local,8,read,32,4,spdk_bdev,2000.0,2
83,Local,8,read,32,4,spdk_bdev,2000.0,3
84,Local,8,read,32,4,spdk_bdev,2000.0,4
85,Local,8,read,32,4,spdk_bdev,2000.0,5
86,Local,8,read,32,4,spdk_bdev,2000.0,6
87,Local,8,read,32,4,spdk_bdev,2000.0,7
88,Local,8,read,32,4,spdk_bdev,2000.0,8
89,Local,8,read,32,4,spdk_bdev,2000.0,9
90,Local,9,write,32,4,spdk_bdev,285.71,0
91,Local,9,write,32,4,spdk_bdev,285.71,1
92,Local,9,write,32,4,spdk_bdev,285.71,2
93,Local,9,write,32,4,spdk_bdev,285.71,3
94,Local,9,write,32,4,spdk_bdev,285.71,4
95,Local,9,write,32,4,spdk_bdev,285.71,5
96,Local,9,write,32,4,spdk_bdev,285.71,6
97,Local,9,write,32,4,spdk_bdev,285.71,7
98,Local,9,write,32,4,spdk_bdev,285.71,8
99,Local,9,write,32,4,spdk_bdev,285.71,9
100,Local,10,randread,32,4,spdk_bdev,2000.0,0
101,Local,10,randread,32,4,spdk_bdev,2000.0,1
102,Local,10,randread,32,4,spdk_bdev,2000.0,2
103,Local,10,randread,32,4,spdk_bdev,2000.0,3
104,Local,10,randread,32,4,spdk_bdev,2000.0,4
105,Local,10,randread,32,4,spdk_bdev,2000.0,5
106,Local,10,randread,32,4,spdk_bdev,2000.0,6
107,Local,10,randread,32,4,spdk_bdev,2000.0,7
108,Local,10,randread,32,4,spdk_bdev,2000.0,8
109,Local,10,randread,32,4,spdk_bdev,2000.0,9
110,Local,11,randwrite,32,4,spdk_bdev,285.71,0
111,Local,11,randwrite,32,4,spdk_bdev,285.71,1
112,Local,11,randwrite,32,4,spdk_bdev,285.71,2
113,Local,11,randwrite,32,4,spdk_bdev,285.71,3
114,Local,11,randwrite,32,4,spdk_bdev,285.71,4
115,Local,11,randwrite,32,4,spdk_bdev,285.71,5
116,Local,11,randwrite,32,4,spdk_bdev,285.71,6
117,Local,11,randwrite,32,4,spdk_bdev,285.71,7
118,Local,11,randwrite,32,4,spdk_bdev,285.71,8
119,Local,11,randwrite,32,4,spdk_bdev,285.71,9
120,Local,12,read,1,10,spdk_bdev,4000.0,0
121,Local,12,read,1,10,spdk_bdev,4000.0,1
122,Local,12,read,1,10,spdk_bdev,4000.0,2
123,Local,12,read,1,10,spdk_bdev,4000.0,3
124,Local,12,read,1,10,spdk_bdev,4000.0,4
125,Local,12,read,1,10,spdk_bdev,4000.0,5
126,Local,12,read,1,10,spdk_bdev,4000.0,6
127,Local,12,read,1,10,spdk_bdev,4000.0,7
128,Local,12,read,1,10,spdk_bdev,4000.0,8
129,Local,12,read,1,10,spdk_bdev,4000.0,9
130,Local,13,write,1,10,spdk_bdev,631.57,0
131,Local,13,write,1,10,spdk_bdev,631.57,1
132,Local,13,write,1,10,spdk_bdev,631.57,2
133,Local,13,write,1,10,spdk_bdev,631.57,3
134,Local,13,write,1,10,spdk_bdev,631.57,4
135,Local,13,write,1,10,spdk_bdev,631.57,5
136,Local,13,write,1,10,spdk_bdev,631.57,6
137,Local,13,write,1,10,spdk_bdev,631.57,7
138,Local,13,write,1,10,spdk_bdev,631.57,8
139,Local,13,write,1,10,spdk_bdev,631.57,9
140,Local,14,randread,1,10,spdk_bdev,4000.0,0
141,Local,14,randread,1,10,spdk_bdev,4000.0,1
142,Local,14,randread,1,10,spdk_bdev,4000.0,2
143,Local,14,randread,1,10,spdk_bdev,4000.0,3
144,Local,14,randread,1,10,spdk_bdev,4000.0,4
145,Local,14,randread,1,10,spdk_bdev,4000.0,5
146,Local,14,randread,1,10,spdk_bdev,4000.0,6
147,Local,14,randread,1,10,spdk_bdev,4000.0,7
148,Local,14,randread,1,10,spdk_bdev,4000.0,8
149,Local,14,randread,1,10,spdk_bdev,4000.0,9
150,Local,15,randwrite,1,10,spdk_bdev,444.44,0
151,Local,15,randwrite,1,10,spdk_bdev,444.44,1
152,Local,15,randwrite,1,10,spdk_bdev,444.44,2
153,Local,15,randwrite,1,10,spdk_bdev,444.44,3
154,Local,15,randwrite,1,10,spdk_bdev,444.44,4
155,Local,15,randwrite,1,10,spdk_bdev,444.44,5
156,Local,15,randwrite,1,10,spdk_bdev,444.44,6
157,Local,15,randwrite,1,10,spdk_bdev,444.44,7
158,Local,15,randwrite,1,10,spdk_bdev,444.44,8
159,Local,15,randwrite,1,10,spdk_bdev,444.44,9
160,Local,16,read,16,10,spdk_bdev,6000.0,0
161,Local,16,read,16,10,spdk_bdev,6000.0,1
162,Local,16,read,16,10,spdk_bdev,6000.0,2
163,Local,16,read,16,10,spdk_bdev,6000.0,3
164,Local,16,read,16,10,spdk_bdev,6000.0,4
165,Local,16,read,16,10,spdk_bdev,6000.0,5
166,Local,16,read,16,10,spdk_bdev,6000.0,6
167,Local,16,read,16,10,spdk_bdev,6000.0,7
168,Local,16,read,16,10,spdk_bdev,6000.0,8
169,Local,16,read,16,10,spdk_bdev,6000.0,9
170,Local,17,write,16,10,spdk_bdev,631.57,0
171,Local,17,write,16,10,spdk_bdev,631.57,1
172,Local,17,write,16,10,spdk_bdev,631.57,2
173,Local,17,write,16,10,spdk_bdev,600.0,3
174,Local,17,write,16,10,spdk_bdev,631.57,4
175,Local,17,write,16,10,spdk_bdev,600.0,5
176,Local,17,write,16,10,spdk_bdev,600.0,6
177,Local,17,write,16,10,spdk_bdev,631.57,7
178,Local,17,write,16,10,spdk_bdev,600.0,8
179,Local,17,write,16,10,spdk_bdev,631.57,9
180,Local,18,randread,16,10,spdk_bdev,4000.0,0
181,Local,18,randread,16,10,spdk_bdev,4000.0,1
182,Local,18,randread,16,10,spdk_bdev,4000.0,2
183,Local,18,randread,16,10,spdk_bdev,4000.0,3
184,Local,18,randread,16,10,spdk_bdev,4000.0,4
185,Local,18,randread,16,10,spdk_bdev,4000.0,5
186,Local,18,randread,16,10,spdk_bdev,4000.0,6
187,Local,18,randread,16,10,spdk_bdev,4000.0,7
188,Local,18,randread,16,10,spdk_bdev,4000.0,8
189,Local,18,randread,16,10,spdk_bdev,4000.0,9
190,Local,19,randwrite,16,10,spdk_bdev,421.05,0
191,Local,19,randwrite,16,10,spdk_bdev,421.05,1
192,Local,19,randwrite,16,10,spdk_bdev,421.05,2
193,Local,19,randwrite,16,10,spdk_bdev,421.05,3
194,Local,19,randwrite,16,10,spdk_bdev,421.05,4
195,Local,19,randwrite,16,10,spdk_bdev,421.05,5
196,Local,19,randwrite,16,10,spdk_bdev,421.05,6
197,Local,19,randwrite,16,10,spdk_bdev,421.05,7
198,Local,19,randwrite,16,10,spdk_bdev,421.05,8
199,Local,19,randwrite,16,10,spdk_bdev,421.05,9
200,Local,20,read,32,10,spdk_bdev,6000.0,0
201,Local,20,read,32,10,spdk_bdev,6000.0,1
202,Local,20,read,32,10,spdk_bdev,6000.0,2
203,Local,20,read,32,10,spdk_bdev,6000.0,3
204,Local,20,read,32,10,spdk_bdev,6000.0,4
205,Local,20,read,32,10,spdk_bdev,6000.0,5
206,Local,20,read,32,10,spdk_bdev,6000.0,6
207,Local,20,read,32,10,spdk_bdev,6000.0,7
208,Local,20,read,32,10,spdk_bdev,6000.0,8
209,Local,20,read,32,10,spdk_bdev,6000.0,9
210,Local,21,write,32,10,spdk_bdev,631.57,0
211,Local,21,write,32,10,spdk_bdev,631.57,1
212,Local,21,write,32,10,spdk_bdev,631.57,2
213,Local,21,write,32,10,spdk_bdev,600.0,3
214,Local,21,write,32,10,spdk_bdev,631.57,4
215,Local,21,write,32,10,spdk_bdev,631.57,5
216,Local,21,write,32,10,spdk_bdev,631.57,6
217,Local,21,write,32,10,spdk_bdev,600.0,7
218,Local,21,write,32,10,spdk_bdev,631.57,8
219,Local,21,write,32,10,spdk_bdev,631.57,9
220,Local,22,randread,32,10,spdk_bdev,4000.0,0
221,Local,22,randread,32,10,spdk_bdev,4000.0,1
222,Local,22,randread,32,10,spdk_bdev,4000.0,2
223,Local,22,randread,32,10,spdk_bdev,4000.0,3
224,Local,22,randread,32,10,spdk_bdev,4000.0,4
225,Local,22,randread,32,10,spdk_bdev,4000.0,5
226,Local,22,randread,32,10,spdk_bdev,4000.0,6
227,Local,22,randread,32,10,spdk_bdev,4000.0,7
228,Local,22,randread,32,10,spdk_bdev,4000.0,8
229,Local,22,randread,32,10,spdk_bdev,4000.0,9
230,Local,23,randwrite,32,10,spdk_bdev,421.05,0
231,Local,23,randwrite,32,10,spdk_bdev,421.05,1
232,Local,23,randwrite,32,10,spdk_bdev,421.05,2
233,Local,23,randwrite,32,10,spdk_bdev,421.05,3
234,Local,23,randwrite,32,10,spdk_bdev,421.05,4
235,Local,23,randwrite,32,10,spdk_bdev,421.05,5
236,Local,23,randwrite,32,10,spdk_bdev,421.05,6
237,Local,23,randwrite,32,10,spdk_bdev,421.05,7
238,Local,23,randwrite,32,10,spdk_bdev,421.05,8
239,Local,23,randwrite,32,10,spdk_bdev,421.05,9
240,Local,24,read,1,100,spdk_bdev,6250.0,0
241,Local,24,read,1,100,spdk_bdev,6250.0,1
242,Local,24,read,1,100,spdk_bdev,6250.0,2
243,Local,24,read,1,100,spdk_bdev,6250.0,3
244,Local,24,read,1,100,spdk_bdev,6250.0,4
245,Local,24,read,1,100,spdk_bdev,6250.0,5
246,Local,24,read,1,100,spdk_bdev,6250.0,6
247,Local,24,read,1,100,spdk_bdev,6250.0,7
248,Local,24,read,1,100,spdk_bdev,6250.0,8
249,Local,24,read,1,100,spdk_bdev,6250.0,9
250,Local,25,write,1,100,spdk_bdev,2777.77,0
251,Local,25,write,1,100,spdk_bdev,2777.77,1
252,Local,25,write,1,100,spdk_bdev,2777.77,2
253,Local,25,write,1,100,spdk_bdev,2040.81,3
254,Local,25,write,1,100,spdk_bdev,2777.77,4
255,Local,25,write,1,100,spdk_bdev,2777.77,5
256,Local,25,write,1,100,spdk_bdev,2777.77,6
257,Local,25,write,1,100,spdk_bdev,2777.77,7
258,Local,25,write,1,100,spdk_bdev,2777.77,8
259,Local,25,write,1,100,spdk_bdev,2777.77,9
260,Local,26,randread,1,100,spdk_bdev,5000.0,0
261,Local,26,randread,1,100,spdk_bdev,5263.15,1
262,Local,26,randread,1,100,spdk_bdev,5555.55,2
263,Local,26,randread,1,100,spdk_bdev,5555.55,3
264,Local,26,randread,1,100,spdk_bdev,5555.55,4
265,Local,26,randread,1,100,spdk_bdev,5555.55,5
266,Local,26,randread,1,100,spdk_bdev,5555.55,6
267,Local,26,randread,1,100,spdk_bdev,5555.55,7
268,Local,26,randread,1,100,spdk_bdev,5555.55,8
269,Local,26,randread,1,100,spdk_bdev,5263.15,9
270,Local,27,randwrite,1,100,spdk_bdev,2777.77,0
271,Local,27,randwrite,1,100,spdk_bdev,2777.77,1
272,Local,27,randwrite,1,100,spdk_bdev,2702.7,2
273,Local,27,randwrite,1,100,spdk_bdev,2777.77,3
274,Local,27,randwrite,1,100,spdk_bdev,2777.77,4
275,Local,27,randwrite,1,100,spdk_bdev,2777.77,5
276,Local,27,randwrite,1,100,spdk_bdev,2777.77,6
277,Local,27,randwrite,1,100,spdk_bdev,2325.58,7
278,Local,27,randwrite,1,100,spdk_bdev,2777.77,8
279,Local,27,randwrite,1,100,spdk_bdev,2777.77,9
280,Local,28,read,16,100,spdk_bdev,6250.0,0
281,Local,28,read,16,100,spdk_bdev,6250.0,1
282,Local,28,read,16,100,spdk_bdev,6250.0,2
283,Local,28,read,16,100,spdk_bdev,6250.0,3
284,Local,28,read,16,100,spdk_bdev,6666.66,4
285,Local,28,read,16,100,spdk_bdev,6666.66,5
286,Local,28,read,16,100,spdk_bdev,6250.0,6
287,Local,28,read,16,100,spdk_bdev,6250.0,7
288,Local,28,read,16,100,spdk_bdev,6666.66,8
289,Local,28,read,16,100,spdk_bdev,6666.66,9
290,Local,29,write,16,100,spdk_bdev,2857.14,0
291,Local,29,write,16,100,spdk_bdev,2857.14,1
292,Local,29,write,16,100,spdk_bdev,2857.14,2
293,Local,29,write,16,100,spdk_bdev,2857.14,3
294,Local,29,write,16,100,spdk_bdev,2857.14,4
295,Local,29,write,16,100,spdk_bdev,2857.14,5
296,Local,29,write,16,100,spdk_bdev,2857.14,6
297,Local,29,write,16,100,spdk_bdev,2857.14,7
298,Local,29,write,16,100,spdk_bdev,2857.14,8
299,Local,29,write,16,100,spdk_bdev,2857.14,9
300,Local,30,randread,16,100,spdk_bdev,6250.0,0
301,Local,30,randread,16,100,spdk_bdev,6250.0,1
302,Local,30,randread,16,100,spdk_bdev,6250.0,2
303,Local,30,randread,16,100,spdk_bdev,6666.66,3
304,Local,30,randread,16,100,spdk_bdev,6666.66,4
305,Local,30,randread,16,100,spdk_bdev,6250.0,5
306,Local,30,randread,16,100,spdk_bdev,6250.0,6
307,Local,30,randread,16,100,spdk_bdev,6250.0,7
308,Local,30,randread,16,100,spdk_bdev,6250.0,8
309,Local,30,randread,16,100,spdk_bdev,6250.0,9
310,Local,31,randwrite,16,100,spdk_bdev,2857.14,0
311,Local,31,randwrite,16,100,spdk_bdev,2380.95,1
312,Local,31,randwrite,16,100,spdk_bdev,2631.57,2
313,Local,31,randwrite,16,100,spdk_bdev,2857.14,3
314,Local,31,randwrite,16,100,spdk_bdev,2857.14,4
315,Local,31,randwrite,16,100,spdk_bdev,2857.14,5
316,Local,31,randwrite,16,100,spdk_bdev,2857.14,6
317,Local,31,randwrite,16,100,spdk_bdev,2857.14,7
318,Local,31,randwrite,16,100,spdk_bdev,2857.14,8
319,Local,31,randwrite,16,100,spdk_bdev,2857.14,9
320,Local,32,read,32,100,spdk_bdev,6250.0,0
321,Local,32,read,32,100,spdk_bdev,6250.0,1
322,Local,32,read,32,100,spdk_bdev,6666.66,2
323,Local,32,read,32,100,spdk_bdev,6250.0,3
324,Local,32,read,32,100,spdk_bdev,6250.0,4
325,Local,32,read,32,100,spdk_bdev,6666.66,5
326,Local,32,read,32,100,spdk_bdev,6250.0,6
327,Local,32,read,32,100,spdk_bdev,6250.0,7
328,Local,32,read,32,100,spdk_bdev,6250.0,8
329,Local,32,read,32,100,spdk_bdev,6250.0,9
330,Local,33,write,32,100,spdk_bdev,2777.77,0
331,Local,33,write,32,100,spdk_bdev,2777.77,1
332,Local,33,write,32,100,spdk_bdev,2777.77,2
333,Local,33,write,32,100,spdk_bdev,2777.77,3
334,Local,33,write,32,100,spdk_bdev,2777.77,4
335,Local,33,write,32,100,spdk_bdev,2325.58,5
336,Local,33,write,32,100,spdk_bdev,2325.58,6
337,Local,33,write,32,100,spdk_bdev,2777.77,7
338,Local,33,write,32,100,spdk_bdev,2777.77,8
339,Local,33,write,32,100,spdk_bdev,2777.77,9
340,Local,34,randread,32,100,spdk_bdev,6666.66,0
341,Local,34,randread,32,100,spdk_bdev,6250.0,1
342,Local,34,randread,32,100,spdk_bdev,6666.66,2
343,Local,34,randread,32,100,spdk_bdev,6250.0,3
344,Local,34,randread,32,100,spdk_bdev,6666.66,4
345,Local,34,randread,32,100,spdk_bdev,6666.66,5
346,Local,34,randread,32,100,spdk_bdev,6250.0,6
347,Local,34,randread,32,100,spdk_bdev,6250.0,7
348,Local,34,randread,32,100,spdk_bdev,6250.0,8
349,Local,34,randread,32,100,spdk_bdev,6666.66,9
350,Local,35,randwrite,32,100,spdk_bdev,2777.77,0
351,Local,35,randwrite,32,100,spdk_bdev,2777.77,1
352,Local,35,randwrite,32,100,spdk_bdev,2777.77,2
353,Local,35,randwrite,32,100,spdk_bdev,2777.77,3
354,Local,35,randwrite,32,100,spdk_bdev,2777.77,4
355,Local,35,randwrite,32,100,spdk_bdev,2777.77,5
356,Local,35,randwrite,32,100,spdk_bdev,2777.77,6
357,Local,35,randwrite,32,100,spdk_bdev,2777.77,7
358,Local,35,randwrite,32,100,spdk_bdev,2777.77,8
359,Local,35,randwrite,32,100,spdk_bdev,2325.58,9
360,Local,36,read,1,1024,spdk_bdev,6522.29,0
361,Local,36,read,1,1024,spdk_bdev,5688.88,1
362,Local,36,read,1,1024,spdk_bdev,6564.1,2
363,Local,36,read,1,1024,spdk_bdev,5720.67,3
364,Local,36,read,1,1024,spdk_bdev,6606.45,4
365,Local,36,read,1,1024,spdk_bdev,5720.67,5
366,Local,36,read,1,1024,spdk_bdev,6564.1,6
367,Local,36,read,1,1024,spdk_bdev,5720.67,7
368,Local,36,read,1,1024,spdk_bdev,6564.1,8
369,Local,36,read,1,1024,spdk_bdev,5657.45,9
370,Local,37,write,1,1024,spdk_bdev,4591.92,0
371,Local,37,write,1,1024,spdk_bdev,4491.22,1
372,Local,37,write,1,1024,spdk_bdev,4471.61,2
373,Local,37,write,1,1024,spdk_bdev,4718.89,3
374,Local,37,write,1,1024,spdk_bdev,4530.97,4
375,Local,37,write,1,1024,spdk_bdev,4471.61,5
376,Local,37,write,1,1024,spdk_bdev,4530.97,6
377,Local,37,write,1,1024,spdk_bdev,4740.74,7
378,Local,37,write,1,1024,spdk_bdev,4471.61,8
379,Local,37,write,1,1024,spdk_bdev,4530.97,9
380,Local,38,randread,1,1024,spdk_bdev,5752.8,0
381,Local,38,randread,1,1024,spdk_bdev,5818.18,1
382,Local,38,randread,1,1024,spdk_bdev,5752.8,2
383,Local,38,randread,1,1024,spdk_bdev,5752.8,3
384,Local,38,randread,1,1024,spdk_bdev,5752.8,4
385,Local,38,randread,1,1024,spdk_bdev,5752.8,5
386,Local,38,randread,1,1024,spdk_bdev,5752.8,6
387,Local,38,randread,1,1024,spdk_bdev,5752.8,7
388,Local,38,randread,1,1024,spdk_bdev,5818.18,8
389,Local,38,randread,1,1024,spdk_bdev,5752.8,9
390,Local,39,randwrite,1,1024,spdk_bdev,4633.48,0
391,Local,39,randwrite,1,1024,spdk_bdev,4571.42,1
392,Local,39,randwrite,1,1024,spdk_bdev,4511.01,2
393,Local,39,randwrite,1,1024,spdk_bdev,4471.61,3
394,Local,39,randwrite,1,1024,spdk_bdev,4807.51,4
395,Local,39,randwrite,1,1024,spdk_bdev,4530.97,5
396,Local,39,randwrite,1,1024,spdk_bdev,4511.01,6
397,Local,39,randwrite,1,1024,spdk_bdev,4471.61,7
398,Local,39,randwrite,1,1024,spdk_bdev,4697.24,8
399,Local,39,randwrite,1,1024,spdk_bdev,4511.01,9
400,Local,40,read,16,1024,spdk_bdev,6781.45,0
401,Local,40,read,16,1024,spdk_bdev,6781.45,1
402,Local,40,read,16,1024,spdk_bdev,6781.45,2
403,Local,40,read,16,1024,spdk_bdev,6692.81,3
404,Local,40,read,16,1024,spdk_bdev,6736.84,4
405,Local,40,read,16,1024,spdk_bdev,6736.84,5
406,Local,40,read,16,1024,spdk_bdev,6781.45,6
407,Local,40,read,16,1024,spdk_bdev,6736.84,7
408,Local,40,read,16,1024,spdk_bdev,6736.84,8
409,Local,40,read,16,1024,spdk_bdev,6736.84,9
410,Local,41,write,16,1024,spdk_bdev,5389.47,0
411,Local,41,write,16,1024,spdk_bdev,5688.88,1
412,Local,41,write,16,1024,spdk_bdev,5688.88,2
413,Local,41,write,16,1024,spdk_bdev,5417.98,3
414,Local,41,write,16,1024,spdk_bdev,5389.47,4
415,Local,41,write,16,1024,spdk_bdev,5818.18,5
416,Local,41,write,16,1024,spdk_bdev,5389.47,6
417,Local,41,write,16,1024,spdk_bdev,5389.47,7
418,Local,41,write,16,1024,spdk_bdev,5446.8,8
419,Local,41,write,16,1024,spdk_bdev,5851.42,9
420,Local,42,randread,16,1024,spdk_bdev,6736.84,0
421,Local,42,randread,16,1024,spdk_bdev,6781.45,1
422,Local,42,randread,16,1024,spdk_bdev,6781.45,2
423,Local,42,randread,16,1024,spdk_bdev,6736.84,3
424,Local,42,randread,16,1024,spdk_bdev,6736.84,4
425,Local,42,randread,16,1024,spdk_bdev,6692.81,5
426,Local,42,randread,16,1024,spdk_bdev,6781.45,6
427,Local,42,randread,16,1024,spdk_bdev,6736.84,7
428,Local,42,randread,16,1024,spdk_bdev,6736.84,8
429,Local,42,randread,16,1024,spdk_bdev,6736.84,9
430,Local,43,randwrite,16,1024,spdk_bdev,5361.25,0
431,Local,43,randwrite,16,1024,spdk_bdev,5417.98,1
432,Local,43,randwrite,16,1024,spdk_bdev,5595.62,2
433,Local,43,randwrite,16,1024,spdk_bdev,5565.21,3
434,Local,43,randwrite,16,1024,spdk_bdev,5475.93,4
435,Local,43,randwrite,16,1024,spdk_bdev,5389.47,5
436,Local,43,randwrite,16,1024,spdk_bdev,5818.18,6
437,Local,43,randwrite,16,1024,spdk_bdev,5446.8,7
438,Local,43,randwrite,16,1024,spdk_bdev,5446.8,8
439,Local,43,randwrite,16,1024,spdk_bdev,5446.8,9
440,Local,44,read,32,1024,spdk_bdev,6736.84,0
441,Local,44,read,32,1024,spdk_bdev,6736.84,1
442,Local,44,read,32,1024,spdk_bdev,6781.45,2
443,Local,44,read,32,1024,spdk_bdev,6736.84,3
444,Local,44,read,32,1024,spdk_bdev,6736.84,4
445,Local,44,read,32,1024,spdk_bdev,6692.81,5
446,Local,44,read,32,1024,spdk_bdev,6736.84,6
447,Local,44,read,32,1024,spdk_bdev,6692.81,7
448,Local,44,read,32,1024,spdk_bdev,6736.84,8
449,Local,44,read,32,1024,spdk_bdev,6781.45,9
450,Local,45,write,32,1024,spdk_bdev,5785.31,0
451,Local,45,write,32,1024,spdk_bdev,5389.47,1
452,Local,45,write,32,1024,spdk_bdev,5389.47,2
453,Local,45,write,32,1024,spdk_bdev,5595.62,3
454,Local,45,write,32,1024,spdk_bdev,5626.37,4
455,Local,45,write,32,1024,spdk_bdev,5389.47,5
456,Local,45,write,32,1024,spdk_bdev,5361.25,6
457,Local,45,write,32,1024,spdk_bdev,5785.31,7
458,Local,45,write,32,1024,spdk_bdev,5333.33,8
459,Local,45,write,32,1024,spdk_bdev,5333.33,9
460,Local,46,randread,32,1024,spdk_bdev,6736.84,0
461,Local,46,randread,32,1024,spdk_bdev,6736.84,1
462,Local,46,randread,32,1024,spdk_bdev,6781.45,2
463,Local,46,randread,32,1024,spdk_bdev,6736.84,3
464,Local,46,randread,32,1024,spdk_bdev,6692.81,4
465,Local,46,randread,32,1024,spdk_bdev,6781.45,5
466,Local,46,randread,32,1024,spdk_bdev,6781.45,6
467,Local,46,randread,32,1024,spdk_bdev,6781.45,7
468,Local,46,randread,32,1024,spdk_bdev,6781.45,8
469,Local,46,randread,32,1024,spdk_bdev,6736.84,9
470,Local,47,randwrite,32,1024,spdk_bdev,5333.33,0
471,Local,47,randwrite,32,1024,spdk_bdev,5851.42,1
472,Local,47,randwrite,32,1024,spdk_bdev,5333.33,2
473,Local,47,randwrite,32,1024,spdk_bdev,5361.25,3
474,Local,47,randwrite,32,1024,spdk_bdev,5565.21,4
475,Local,47,randwrite,32,1024,spdk_bdev,5565.21,5
476,Local,47,randwrite,32,1024,spdk_bdev,5389.47,6
477,Local,47,randwrite,32,1024,spdk_bdev,5333.33,7
478,Local,47,randwrite,32,1024,spdk_bdev,5785.31,8
